Unnamed: 0,flat_data,Target,Path,height,width,channels,CircleArea,x_circle,y_circle,r_circle,b_mean_circle,g_mean_circle,r_mean_circle,b_var_circle,g_var_circle,r_var_circle,b_std_circle,g_std_circle,r_std_circle,HOG,HOG_max,HOG_min,HOG_mean,HOG_std,SIFT,SIFT_mean,SIFT_std
0,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0152_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,670,548,296,69.0,70.0,58.0,624.0,756.0,764.0,25.0,27.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.999999999961402,0.0008852150961535874,0.01621040877601893,0.06529624442915127,[21. 63. 18. ...  0.  0.  0.],23.7714,38.511555
1,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0146_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,668,548,296,65.0,66.0,55.0,652.0,799.0,803.0,26.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999954433,0.0008362626441756388,0.016352262175911066,0.06543168443348352,[41.  0.  0. ...  3.  0. 10.],23.048288,38.94419
2,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0035_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,652,544,296,67.0,67.0,55.0,668.0,778.0,758.0,26.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999926567,0.0008381798724216617,0.0161699477362956,0.06530627595749793,[37.  1.  0. ...  0.  0.  1.],23.796473,38.497913
3,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0025_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,664,546,296,66.0,67.0,55.0,610.0,743.0,740.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999557093,0.0008644230622533579,0.01625925598109309,0.06545485773420126,[36.  0.  0. ... 66. 11.  1.],23.346123,38.77273
4,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0031_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,154830.12,672,536,222,61.0,55.0,41.0,360.0,356.0,311.0,19.0,19.0,18.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999867812,0.001443910685691203,0.009961434322144051,0.05117449024129731,[0. 0. 0. ... 2. 0. 1.],23.166239,38.882942
5,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0142_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,662,552,296,67.0,68.0,56.0,623.0,787.0,806.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999894499,0.0008199712926730448,0.016653355425250194,0.06539838521218679,[27.  6.  0. ...  0.  0.  0.],23.332977,38.77779
6,[0 0 0 ... 8 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0103_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,134613.99,662,546,207,56.0,49.0,36.0,250.0,231.0,194.0,16.0,15.0,14.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999758149,0.001403849427515752,0.008741906236439058,0.04791243564613422,[162.  87.   0. ...  28.   9.   5.],22.516571,39.2647
7,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0156_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,161882.99,664,552,227,57.0,52.0,39.0,317.0,323.0,287.0,18.0,18.0,17.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997564804,0.0010194417373110924,0.010154935461656621,0.051408579605152466,[48.  4.  0. ...  0.  0.  2.],24.179502,38.25558
8,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0045_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,137227.79,656,550,209,53.0,47.0,34.0,255.0,236.0,198.0,16.0,15.0,14.0,[0. 0. 0. ... 0. 0. 0.],0.9999999998942148,0.0012585452038258967,0.008739344326258483,0.048376607039296415,[23.  2.  0. ... 10.  0.  0.],22.139322,39.47059
9,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0163_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,159042.99,664,546,225,58.0,53.0,40.0,354.0,354.0,307.0,19.0,19.0,18.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999411663,0.0016130764994455441,0.010177398125705379,0.05162083160387304,[0. 0. 0. ... 0. 0. 3.],23.976818,38.374638
10,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0122_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,658,536,296,66.0,67.0,56.0,615.0,780.0,795.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999687852,0.0008270069712745617,0.01631910534868371,0.06543996184808247,[25.  0.  0. ...  0.  0.  3.],23.763905,38.515522
11,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0136_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,662,544,296,67.0,68.0,57.0,617.0,775.0,788.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997308804,0.0009460864224437257,0.016455967635299218,0.06536299951848544,[34.  0.  0. ...  1.  0.  0.],23.55992,38.63794
12,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0039_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,273396.87,650,548,295,68.0,69.0,57.0,586.0,703.0,704.0,24.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.999999999998694,0.00101738754242817,0.016337325049954835,0.0652218327727343,[41.  1.  0. ...  8.  0.  2.],23.692196,38.55704
13,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0173_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,650,544,296,67.0,68.0,56.0,631.0,765.0,762.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999873023,0.0007091989098961483,0.01639607494931297,0.06533535087467465,[53.  3.  0. ...  2.  0.  0.],23.817442,38.474804
14,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0132_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,670,550,296,66.0,67.0,55.0,620.0,745.0,744.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997564804,0.000647232449330281,0.016231723573105452,0.06541904712470904,[15.  1.  0. ...  9.  0.  0.],23.685574,38.56685
15,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0167_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,273396.87,662,536,295,66.0,67.0,56.0,620.0,769.0,777.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999929134,0.0007029319471853505,0.01640618228793796,0.06520454618173929,[29.  5.  0. ...  0.  0.  0.],23.510965,38.671104
16,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0126_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,273396.87,672,544,295,66.0,67.0,55.0,588.0,706.0,707.0,24.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997190672,0.000866666032731069,0.01617821516192871,0.06470320729660436,[44.  0.  0. ...  3.  0.  2.],23.503862,38.66977
17,[0 0 0 ... 8 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0029_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,662,534,296,67.0,68.0,56.0,655.0,787.0,781.0,26.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.999999999994662,0.0007451239823798691,0.01639119558653196,0.06550719786205826,[ 0.  0.  0. ... 16.  0.  0.],23.59848,38.61039
18,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0041_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,658,548,296,69.0,69.0,57.0,601.0,739.0,753.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999114187,0.0007843854737999891,0.016427618656681547,0.06541280571356985,[38.  0.  0. ...  0.  0.  0.],23.208828,38.852608
19,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0046_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,664,536,296,67.0,67.0,56.0,609.0,748.0,755.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.999999999717127,0.0008290443152826765,0.01656387651339254,0.0652930114369729,[50.  2.  0. ...  0.  0.  0.],23.838396,38.469646
20,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0108_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,666,548,296,66.0,67.0,56.0,596.0,747.0,757.0,24.0,27.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.999999999971654,0.0006003756723108323,0.01658211025197088,0.06541648610913435,[15. 54. 73. ...  3.  0.  0.],23.902626,38.42617
21,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0149_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,277116.51,668,552,297,67.0,67.0,56.0,588.0,738.0,752.0,24.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999943269,0.0008910199689220844,0.016729780331525293,0.065719459211284,[70. 13.  0. ...  0.  0.  0.],23.357971,38.760456
22,[0 0 0 ... 8 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0135_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,660,548,296,67.0,68.0,56.0,636.0,796.0,804.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999777778,0.0007120398956316417,0.01650517556421435,0.06539327936160802,[21.  0.  0. ...  1.  0. 41.],23.20363,38.85424
23,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0121_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,662,544,296,69.0,69.0,57.0,652.0,798.0,799.0,26.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997308804,0.0008131564238299065,0.016484721812015192,0.06535575356193096,[25.  4.  2. ... 11.  3. 28.],23.293915,38.806664
