Unnamed: 0,flat_data,Target,Path,height,width,channels,CircleArea,x_circle,y_circle,r_circle,b_mean_circle,g_mean_circle,r_mean_circle,b_var_circle,g_var_circle,r_var_circle,b_std_circle,g_std_circle,r_std_circle,HOG,HOG_max,HOG_min,HOG_mean,HOG_std,SIFT,SIFT_mean,SIFT_std,TEXTURE,New Target,New Target Name
0,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0152_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,670,548,296,69.0,70.0,58.0,624.0,756.0,764.0,25.0,27.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.999999999961402,0.0008852150961535,0.0162104087760189,0.0652962444291512,[21. 63. 18. ...  0.  0.  0.],23.7714,38.511555,"[ 7.47932802e-01  1.49809029e+01  9.87620766e-01  6.05031759e+02
  9.01300728e-01  1.77820061e+01  2.40514613e+03  1.57581836e+00
  1.98034281e+00  4.30236042e-03  9.29295054e-01 -5.97309168e-01
  9.02553202e-01]",0,Black-Gold-250ml-1000ml
1,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0146_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,668,548,296,65.0,66.0,55.0,652.0,799.0,803.0,26.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999954432,0.0008362626441756,0.016352262175911,0.0654316844334835,[41.  0.  0. ...  3.  0. 10.],23.048288,38.94419,"[ 7.47935360e-01  1.56121524e+01  9.86058997e-01  5.59889792e+02
  9.02666782e-01  1.68727417e+01  2.22394702e+03  1.57506599e+00
  1.96737538e+00  4.26906396e-03  9.16239005e-01 -6.05258850e-01
  9.04683298e-01]",0,Black-Gold-250ml-1000ml
2,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0074_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,664,534,296,68.0,69.0,57.0,878.0,1011.0,986.0,30.0,32.0,31.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999824416,0.0005535055814919,0.0163171566307291,0.0654830774682269,[36.  0.  0. ...  0.  0.  1.],23.310808,38.791317,"[ 7.47932698e-01  1.39459461e+01  9.88814686e-01  6.23350180e+02
  9.02012870e-01  1.75237036e+01  2.47945477e+03  1.58865914e+00
  1.99170928e+00  3.30356774e-03  9.27485610e-01 -6.03041670e-01
  9.05880205e-01]",0,Black-Gold-250ml-1000ml
3,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0035_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,652,544,296,67.0,67.0,55.0,668.0,778.0,758.0,26.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999926568,0.0008381798724216,0.0161699477362956,0.0653062759574979,[37.  1.  0. ...  0.  0.  1.],23.796473,38.497913,"[ 7.47942081e-01  1.61575939e+01  9.85926046e-01  5.73978802e+02
  9.02526173e-01  1.71872860e+01  2.27975761e+03  1.56836649e+00
  1.95868812e+00  4.24540856e-03  9.20452118e-01 -6.03451015e-01
  9.03187171e-01]",0,Black-Gold-250ml-1000ml
4,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0060_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,654,548,296,73.0,75.0,63.0,1093.0,1284.0,1271.0,33.0,36.0,36.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999757632,0.0008631468358362,0.0161824354577834,0.0653031827087258,[40.  2.  0. ...  3. 48.  9.],23.610926,38.609367,"[ 7.47937516e-01  1.52894212e+01  9.89874280e-01  7.54914476e+02
  9.00890183e-01  1.91475100e+01  3.00436848e+03  1.60397293e+00
  2.01321160e+00  3.33940442e-03  9.37758612e-01 -6.02004317e-01
  9.07276967e-01]",0,Black-Gold-250ml-1000ml
5,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0064_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,666,554,296,73.0,74.0,62.0,1147.0,1325.0,1288.0,34.0,36.0,36.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999973516,0.0008163480647807,0.015863343851804,0.0656370214614589,[ 6. 66. 40. ...  0.  0.  0.],23.589354,38.62404,"[ 7.47938967e-01  1.94732092e+01  9.86896216e-01  7.42973754e+02
  8.99565905e-01  1.88707230e+01  2.95242181e+03  1.60038205e+00
  2.01665299e+00  3.13381249e-03  9.53851650e-01 -5.97111832e-01
  9.05593909e-01]",0,Black-Gold-250ml-1000ml
6,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0025_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,664,546,296,66.0,67.0,55.0,610.0,743.0,740.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999557092,0.0008644230622533,0.016259255981093,0.0654548577342012,[36.  0.  0. ... 66. 11.  1.],23.346123,38.77273,"[ 7.47941015e-01  1.69391823e+01  9.85056856e-01  5.66741676e+02
  9.02438506e-01  1.71367769e+01  2.25002752e+03  1.56579853e+00
  1.95719925e+00  4.48346444e-03  9.19544458e-01 -6.02835470e-01
  9.02798555e-01]",0,Black-Gold-250ml-1000ml
7,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0070_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,670,546,296,72.0,73.0,61.0,1149.0,1306.0,1269.0,34.0,36.0,36.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997387754,0.0004887756573363,0.0160494203910534,0.0650792257105524,[0. 0. 0. ... 0. 0. 0.],23.641394,38.58913,"[ 7.47933737e-01  1.58477888e+01  9.89172010e-01  7.31734773e+02
  9.00481152e-01  1.87259765e+01  2.91109130e+03  1.60494365e+00
  2.01606949e+00  3.16371002e-03  9.40872540e-01 -6.02176120e-01
  9.07588892e-01]",0,Black-Gold-250ml-1000ml
8,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0031_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,154830.12,672,536,222,61.0,55.0,41.0,360.0,356.0,311.0,19.0,19.0,18.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999867812,0.0014439106856912,0.009961434322144,0.0511744902412973,[0. 0. 0. ... 2. 0. 1.],23.166239,38.882942,"[ 8.53227546e-01  5.25087596e+00  9.87657087e-01  2.12690239e+02
  9.48238907e-01  7.84628028e+00  8.45510082e+02  8.92051294e-01
  1.06210078e+00  5.60148192e-03  5.26601621e-01 -6.48191939e-01
  7.99214506e-01]",0,Black-Gold-250ml-1000ml
9,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0142_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,662,552,296,67.0,68.0,56.0,623.0,787.0,806.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.99999999998945,0.000819971292673,0.0166533554252501,0.0653983852121867,[27.  6.  0. ...  0.  0.  0.],23.332977,38.77779,"[ 7.47936628e-01  1.46606143e+01  9.87404135e-01  5.81913502e+02
  9.02827136e-01  1.72970544e+01  2.31299339e+03  1.57295923e+00
  1.95912992e+00  4.38710328e-03  9.12374534e-01 -6.07662837e-01
  9.04939423e-01]",0,Black-Gold-250ml-1000ml
